msl,model_size,memory,latency,val_loss
16,124M,1.8891000747680664,0.8439593230000001,4.363003
64,124M,1.9931621551513672,3.071531978,4.093129
128,124M,2.147348403930664,6.089388071,3.938801
16,355M,5.356210708618164,2.579582812,4.284024
64,355M,5.573062896728516,9.337973694,3.960491
128,355M,5.90330696105957,18.727606191,3.891543
512,124M,3.441680908203125,30.589106603,3.848077
8,124M,1.8727951049804688,0.5053134380000001,4.510271
2,124M,1.8611345291137695,0.262271979,6.342315
1,355M,5.294930458068848,0.592675364,6.977594
1024,124M,6.151856422424316,86.251004759,4.573292
2,355M,5.298405647277832,0.751453176,7.164142
8,355M,5.322690963745117,1.52692552,4.563434
1,124M,1.8597030639648438,0.202151771,6.672086
4,355M,5.3063201904296875,1.1562364059999999,5.154606
32,355M,5.425546646118164,4.85047406,3.710453
256,124M,2.508474349975586,12.910317027,4.003394
4,124M,1.8648366928100586,0.399447656,5.132238
32,124M,1.9226818084716797,1.572337395,3.745857
256,355M,6.704434394836426,40.080245037,3.748912
