msl,memory,latency,val_loss
64,1.9931612014770508,3.071531978,4.093129
128,2.147348403930664,6.089388071,3.938801
512,3.4416818618774414,30.589106603,3.848077
1024,5.224430084228516,86.251004759,4.573292
256,2.5084753036499023,12.910317027,4.003394
32,1.9226818084716797,1.572337395,3.745857
